time  open      close       high        low       volume         money
20130606000000  2552.8200  2527.8400  2557.6800  2525.3100   5249652900   54448113429
20130607000000  2526.9100  2484.1600  2538.8900  2475.6900   6103089400   61366173745
20130613000000  2448.7200  2399.9400  2448.7200  2375.2000   6973006600   64081598112
20130614000000  2404.4200  2416.7700  2420.3600  2396.4900   5596453400   53686779328
20130617000000  2422.7600  2403.8400  2427.5300  2394.3900   5039571100   51983757469
20130618000000  2413.0900  2418.7400  2424.2000  2393.3200   4863037900   48792090467
20130619000000  2408.2800  2400.7600  2408.2800  2366.3500   5434626000   52979991053
20130620000000  2386.1000  2321.4700  2386.1000  2320.2300   5520102000   52171735063
20130621000000  2283.1500  2317.3900  2332.8400  2269.5700   5870579800   53486132980
20130624000000  2308.0700  2171.2100  2308.0700  2164.3200   8659725900   73731930536
20130625000000  2146.0500  2165.4200  2169.2100  2023.1700  10755488200   87090393952
20130626000000  2170.3300  2168.3000  2181.0200  2131.8600   7925642600   67298430249
20130627000000  2172.8500  2160.7400  2200.2100  2153.1800   7540675300   62927082416
20130628000000  2149.0300  2200.6400  2227.4600  2139.3700   7945132700   64106048718
20130701000000  2187.0900  2213.3200  2213.9700  2166.3500   5772622700   51874735216
20130702000000  2211.8000  2221.9800  2226.1100  2191.8000   6183885000   59632902046
20130703000000  2211.0400  2203.8300  2211.0400  2169.1400   6583602200   59536760190
20130704000000  2187.1800  2221.9800  2245.9100  2176.0800   7258114500   67189379203
20130705000000  2227.3500  2226.8500  2252.0300  2225.0500   6182177500   58424400611
20130708000000  2194.4200  2163.6200  2205.2100  2162.1900   5478249300   49288252039
20130709000000  2160.7000  2162.6700  2174.7900  2149.7900   4149443300   37246189870
20130710000000  2163.1000  2224.0700  2224.1400  2157.4700   6114978100   54373757823
20130711000000  2232.1600  2326.6900  2351.2200  2232.1600  12579319200  111329812773
20130712000000  2319.0200  2275.3700  2331.9900  2274.0700   8973308200   82064555657
20130715000000  2289.7600  2307.3000  2336.0400  2274.6700   7475788400   71796189674
20130716000000  2300.8300  2317.8500  2317.8500  2281.9400   6562415700   62085631916
20130717000000  2311.4400  2282.8400  2326.9300  2281.6100   6765524800   63229061677
20130718000000  2272.9500  2245.3300  2282.4300  2241.9300   5714429200   51937235147
20130719000000  2248.1300  2190.4800  2257.9200  2188.7500   7053528200   66179072656
20130722000000  2170.0900  2202.1900  2203.0600  2159.8100   5328349500   48872947253
20130723000000  2211.5900  2265.8400  2276.7400  2206.7600   7480973100   69255423111
20130724000000  2253.3800  2249.1500  2265.5800  2217.1900   6959230700   69279825849
20130725000000  2255.2200  2237.6800  2268.8400  2227.8500   6577431600   60558362762
20130726000000  2226.4300  2224.0100  2238.4200  2209.8100   4894109800   45636069902
20130729000000  2205.0800  2175.9700  2205.0800  2169.0200   5460092500   49624613440
20130730000000  2184.0100  2189.3900  2221.5900  2162.9800   5519362300   50907227289
20130731000000  2211.7500  2193.0200  2235.3800  2187.2100   4832705500   46723493389
20130801000000  2206.0000  2245.3600  2245.5600  2200.6300   6260399700   58944765673
20130802000000  2263.4900  2247.2600  2274.7100  2244.2500   6089089300   58459999450
20130805000000  2249.9800  2278.3300  2278.3300  2243.2200   5534215100   53623068581
20130806000000  2270.6700  2293.6400  2302.4800  2256.7200   7374689500   68993574807
20130807000000  2292.3800  2280.6200  2313.8800  2276.8600   7304869500   69560482114
20130808000000  2277.2500  2276.7800  2297.6300  2267.0700   5309843000   52710276666
20130809000000  2288.5100  2286.0100  2301.5900  2258.3300   6460001700   62663979060
20130812000000  2296.2200  2352.7900  2352.8900  2293.1800   9786321600   94038910336
20130813000000  2352.8800  2359.0700  2360.8300  2340.7300   7839363600   71178520240
20130814000000  2362.6200  2349.0800  2386.6000  2340.8300   7594212800   71338219589
20130815000000  2348.8400  2321.5800  2362.0900  2319.7800   6195185300   59411203587
20130816000000  2314.2600  2304.1400  2423.0800  2295.0200  12036956300  104026773370
20130819000000  2286.2000  2331.4300  2340.1900  2284.0800   7248322400   67064925390
20130820000000  2325.8600  2312.4700  2353.4100  2303.6700   7308634500   67589707172
20130821000000  2320.5800  2308.5900  2321.6400  2291.0500   5500738400   50886495497
20130822000000  2302.6700  2303.9300  2329.1400  2297.0200   5533810400   51686310590
20130823000000  2314.8700  2286.9300  2321.0400  2251.9200   6896713300   65459845296
20130826000000  2294.7600  2335.6200  2336.3800  2288.5000   7037104300   66541009856
20130827000000  2332.8000  2340.8800  2345.1100  2322.4600   6599033300   62575377643
